Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility
MAR,1843292,57053310976,20.28632,0.3163338005542755,1.0485517978668213,2.349689483642578,-1.0895936489105225,-0.231821209192276,0.2117
AXP,2951070,111323234304,14.316775,0.24379943311214447,0.8491438031196594,1.8906657695770264,-0.8947710394859314,-0.1369239091873169,0.211
GL,508551,11040994304,12.543898,0.3137173354625702,1.0072213411331177,2.2120349407196045,-1.0350580215454102,-0.17197196185588837,0.1514
HUM,994343,58725179392,19.735622,0.340955913066864,1.0843428373336792,2.4261474609375,-1.1313084363937378,-0.15960454940795898,0.2087
A,1973607,31897835520,28.539267,0.2416401356458664,0.6873934268951416,1.5758826732635498,-0.7301696538925171,-0.1407160460948944,0.236
MAA,660109,14890697728,24.852001,0.16548746824264526,0.7293868064880371,1.6390997171401978,-0.8055625557899475,-0.14635644853115082,0.1941
BSX,8392057,76955394048,64.060974,0.26662734150886536,0.7222985625267029,1.6547335386276245,-0.7642300724983215,-0.10965368151664734,0.2287
AJG,735812,52321714176,46.512478,0.23251059651374817,0.8024389147758484,1.8098598718643188,-0.8707047700881958,-0.12106002867221832,0.1548
FTV,1929957,23177070592,28.30472,0.09444331377744675,0.34206974506378174,0.7962111830711365,-0.269106388092041,-0.08733722567558289,0.2365
TMO,1598290,175506898944,29.799475,0.22992420196533203,0.7004721164703369,1.534234881401062,-0.7529909610748291,-0.09627756476402283,0.2221
NVR,23767,18908805120,12.393759,0.26752912998199463,0.8778415322303772,1.984876275062561,-0.9268949627876282,-0.1801554411649704,0.2547
EXPD,1105037,16704964608,16.833084,0.22772693634033203,0.7952287197113037,1.824237585067749,-0.8275653719902039,-0.20707525312900543,0.1903
VRSK,873592,33436903424,43.26829,0.2133239209651947,0.7464911937713623,1.6641826629638672,-0.8020751476287842,-0.14414754509925842,0.155
NRG,2868426,10320164864,N/A,0.25128239393234253,0.7867546677589417,1.7370145320892334,-0.7785016894340515,-0.13613487780094147,0.2268
WMB,5952356,43909361664,15.824562,0.25643017888069153,0.8000228404998779,1.7720013856887817,-0.7874270677566528,-0.12472241371870041,0.1639
CTRA,5972703,21171490816,7.0629725,0.27148720622062683,0.869132936000824,1.9588133096694946,-0.8848381638526917,-0.19783112406730652,0.2453
FICO,176668,23127386112,56.456917,0.29779526591300964,0.8808003067970276,1.9379700422286987,-0.9071986675262451,-0.15603794157505035,0.2687
WST,353014,24786548736,45.20918,0.021211599931120872,0.5135818719863892,0.7120497226715088,-0.4929496645927429,0.14571397006511688,0.2874
LH,821423,17847678976,21.672165,0.24539561569690704,0.7814350128173828,1.8341604471206665,-0.8610914349555969,-0.11684881150722504,0.16
MOH,365073,19672168448,21.049906,0.3151772618293762,0.8993822932243347,2.083505868911743,-1.004097819328308,-0.16193443536758423,0.2333
INVH,2706264,19645468672,39.469135,0.23884184658527374,0.7019739747047424,1.670431137084961,-0.723471462726593,-0.15442046523094177,0.1945
UNH,2689140,491775361024,23.03254,0.2875654101371765,0.975069522857666,2.257449150085449,-1.0482901334762573,-0.18402670323848724,0.2056
HPQ,7784193,27098335232,11.768241,0.28382936120033264,0.872428297996521,1.9231338500976562,-0.9203340411186218,-0.15207539498806,0.2409
PNR,1138450,10189030400,19.948221,0.19237913191318512,0.7041203379631042,1.6945997476577759,-0.7895624041557312,-0.1346820592880249,0.2404
FTNT,6398635,39643811840,37.954887,0.2717690169811249,0.7816267013549805,1.8503856658935547,-0.8670986890792847,-0.15990664064884186,0.5592
PPL,5560996,18700834816,26.15464,0.30919694900512695,1.026073694229126,2.288583278656006,-1.0288735628128052,-0.24805887043476105,0.1972
BDX,1112937,75112120320,46.819168,0.0,0.0,0.0,0.0,0.0,0.1894
AAL,30758320,7829420544,5.012552,0.2563440799713135,0.8790549039840698,1.9498414993286133,-0.9381076693534851,-0.16661836206912994,0.2996
