Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility
MAR,0.7765342809424867,0.8645701489795388,0.049294302761664015,0.3163338005542755,1.0485517978668213,2.349689483642578,-1.0895936489105225,-0.231821209192276,0.2117
AXP,0.8018650389071027,0.8879043300230444,0.0698481326974825,0.24379943311214447,0.8491438031196594,1.8906657695770264,-0.8947710394859314,-0.1369239091873169,0.211
GL,0.7072217366506314,0.8072385987466194,0.07972003598881304,0.3137173354625702,1.0072213411331177,2.2120349407196045,-1.0350580215454102,-0.17197196185588837,0.1514
HUM,0.7433121861778779,0.8655783724662521,0.05066979900608149,0.340955913066864,1.0843428373336792,2.4261474609375,-1.1313084363937378,-0.15960454940795898,0.2087
A,0.7802110406756426,0.8442730830547285,0.035039442323448605,0.2416401356458664,0.6873934268951416,1.5758826732635498,-0.7301696538925171,-0.1407160460948944,0.236
MAA,0.7212613772216386,0.8176802743173485,0.04023820858529661,0.16548746824264526,0.7293868064880371,1.6390997171401978,-0.8055625557899475,-0.14635644853115082,0.1941
BSX,0.8581183316568948,0.8750159520841149,0.015610127938423165,0.26662734150886536,0.7222985625267029,1.6547335386276245,-0.7642300724983215,-0.10965368151664734,0.2287
AJG,0.7271051219461854,0.86154801917243,0.021499607051681916,0.23251059651374817,0.8024389147758484,1.8098598718643188,-0.8707047700881958,-0.12106002867221832,0.1548
FTV,0.7790072423733166,0.8331244164881643,0.03532979658516318,0.09444331377744675,0.34206974506378174,0.7962111830711365,-0.269106388092041,-0.08733722567558289,0.2365
TMO,0.7688578481908054,0.9037957671686631,0.03355763817986726,0.22992420196533203,0.7004721164703369,1.534234881401062,-0.7529909610748291,-0.09627756476402283,0.2221
NVR,0.5423418805774923,0.8260194319260564,0.08068577095939981,0.26752912998199463,0.8778415322303772,1.984876275062561,-0.9268949627876282,-0.1801554411649704,0.2547
EXPD,0.7489934984088356,0.8216935974009741,0.05940682052082673,0.22772693634033203,0.7952287197113037,1.824237585067749,-0.8275653719902039,-0.20707525312900543,0.1903
VRSK,0.7363435513491811,0.8459180091224002,0.023111613608950112,0.2133239209651947,0.7464911937713623,1.6641826629638672,-0.8020751476287842,-0.14414754509925842,0.155
NRG,0.8003361785017855,0.8048817862233242,0,0.25128239393234253,0.7867546677589417,1.7370145320892334,-0.7785016894340515,-0.13613487780094147,0.2268
WMB,0.8396295795308596,0.8554292439613689,0.0631929022743252,0.25643017888069153,0.8000228404998779,1.7720013856887817,-0.7874270677566528,-0.12472241371870041,0.1639
CTRA,0.8398132557581841,0.8299649835561901,0.1415834480454228,0.27148720622062683,0.869132936000824,1.9588133096694946,-0.8848381638526917,-0.19783112406730652,0.2453
FICO,0.6503131053818992,0.8330495046363863,0.017712621466737195,0.29779526591300964,0.8808003067970276,1.9379700422286987,-0.9071986675262451,-0.15603794157505035,0.2687
