Symbol,Volume,Market Cap,P/E Ratio,a,b,c,d,e,Volatility,Description
MLM,393671,27373172736,24.993229,0.18209023773670197,0.7589099407196045,1.6437400579452515,-0.7351557016372681,-0.1880497932434082,0.241,"Martin Marietta Materials, Inc. is an American company and a member of the S&P 500 Index. The company is a supplier of aggregates and heavy building materials, with operations spanning 26 states, Canada and the Caribbean. In particular, Martin Marietta Materials supplies resources for the construction of roads, sidewalks and foundations.
"
URI,710984,30603980800,13.132926,0.27153101563453674,0.8173034191131592,1.9735102653503418,-0.9497666954994202,-0.14291693270206451,0.3162,"United Rentals, Inc (NYSE: URI) is an American publicly traded company; it is the world's largest equipment rental company, with about 16 percent of the North American market share as of 2022.[5] It owns the largest rental fleet in the world with approximately 4,700 classes of equipment totaling about $19.3 billion in original equipment cost (OEC) as of 2022.[3] The company has a combined total of 1,449 locations, including an integrated network of 1,390 rental locations in North America, 13 in Europe, 27 in Australia and 19 in New Zealand. In North America, the company operates in 49 U.S. states and Puerto Rico and in every Canadian province.[3] In 2017, United Rentals' revenue totaled more than $6.64 billion, with over $1.35 billion in profit.[6] It is ranked #424 on the Fortune 500,[7] and #1183 on the Forbes Global 2000 list of the world's largest public companies.[8]
"
TDY,272745,17904705536,23.011522,0.32622048258781433,0.8886366486549377,1.9587664604187012,-0.9390854239463806,-0.17341665923595428,0.2161,"Teledyne Technologies Incorporated is an American industrial conglomerate. It was founded in 1960, as Teledyne, Inc., by Henry Singleton and George Kozmetsky.
"
KVUE,45488329,37091422208,34.589287,0.27785372734069824,0.8377000689506531,1.8347722291946411,-0.8534193634986877,-0.14507056772708893,0.2761,"Kenvue Inc. is an American consumer health company. Formerly the Consumer Healthcare division of Johnson & Johnson,[2][3] Kenvue is the proprietor of well-known brands such as Aveeno, Band-Aid, Benadryl, Johnson's Baby, Listerine, Mylanta, Neutrogena, Tylenol, and Visine.
"
NI,5036112,10633033728,17.146666,0.28918927907943726,0.9740961790084839,2.1537976264953613,-1.0346262454986572,-0.12612274289131165,0.239,"NiSource Inc. is one of the largest fully regulated utility companies in the United States, serving approximately 3.5 million natural gas customers and 500,000 electric customers across six states through its local Columbia Gas and NIPSCO brands. The company, based in Merrillville, Indiana, has more than 8,000 employees. As of 2018, NiSource is the sole Indiana-based utility company.
"
META,20698632,808477982720,27.791521,0.2786199748516083,0.8296746611595154,1.8500605821609497,-0.838696300983429,-0.10006221383810043,0.3141,"Meta Platforms, Inc.,[15][16] doing business as Meta,[17][18] and formerly named Facebook, Inc., and TheFacebook, Inc.,[19] is an American multinational technology conglomerate based in Menlo Park, California. The company owns and operates Facebook, Instagram, Threads, and WhatsApp, among other products and services.[20] Meta is one of the world's most valuable companies and among the ten largest publicly traded corporations in the United States.[21] It is considered one of the Big Five American information technology companies, alongside Google's parent company Alphabet, Amazon, Apple, and Microsoft.
"
F,50698451,42271154176,6.9019613,0.2624342441558838,0.7953518033027649,1.7621781826019287,-0.8406628966331482,-0.19303879141807556,0.3245,"Ford Motor Company (commonly known as Ford) is an American multinational automobile manufacturer headquartered in Dearborn, Michigan, United States. It was founded by Henry Ford and incorporated on June 16, 1903. The company sells automobiles and commercial vehicles under the Ford brand, and luxury cars under its Lincoln brand. Ford also owns a 32% stake in China's Jiangling Motors.[8] It also has joint ventures in China (Changan Ford), Taiwan (Ford Lio Ho), Thailand (AutoAlliance Thailand), and Turkey (Ford Otosan). The company is listed on the New York Stock Exchange and is controlled by the Ford family; they have minority ownership but the majority of the voting power.[6][9]
"
PKG,530868,14230863872,18.191956,0.27806389331817627,0.9045517444610596,2.1046717166900635,-0.9934514164924622,-0.16888605058193207,0.2344,"Packaging Corporation of America is an American manufacturing company based in Lake Forest, Illinois.[2] The company has about 15,500 employees, with operations primarily in the United States. The CEO is Mark W. Kowlzan.[3]
"
APD,712554,65134088192,29.948929,0.19863542914390564,0.7224297523498535,1.6217302083969116,-0.7286794185638428,-0.12438885867595673,0.2008,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses. Air Products' headquarters is in Allentown, Pennsylvania, in the Lehigh Valley region of Pennsylvania.
"
WHR,703912,6113915392,N/A,0.2700527608394623,0.8662025332450867,1.967252254486084,-0.8778093457221985,-0.15155363082885742,0.3818,"Whirlpool Corporation is an American  multinational manufacturer and marketer of home appliances headquartered in Benton Charter Township, Michigan, United States.[2] The Fortune 500 company has annual revenue of approximately $21 billion, 78,000 employees, and more than 70 manufacturing and technology research centers globally.[3]
"
