Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility
IPG,0.201483874,0.806973982,0.081780539,0.239826471,0.745115161,1.561770082,-0.729116261,-0.105147704,0.3571
USB,0.162780874,0.862047563,0.095914231,0.25388366,0.791066825,1.811427712,-0.859481812,-0.113065861,0.3354
ETR,0.152475595,0.828159043,0.071237112,0.218468145,0.773046315,1.872523069,-0.916396499,-0.14800854,0.2028
VRSK,0.125203861,0.8458536,0.022838016,0.213323921,0.746491194,1.664182663,-0.802075148,-0.144147545,0.155
MMC,0.060214159,0.882185491,0.035331197,0.280787766,0.922148228,2.00214982,-0.96447289,-0.111174718,0.1266
TRGP,0.154496963,0.825394142,0.044615019,0.234538525,0.805281579,1.860567927,-0.831843734,-0.140445843,0.1958
BAC,0.117123148,0.911068355,0.127285766,0.271008879,0.786053777,1.748373866,-0.878627479,-0.089273147,0.2385
APTV,0.148073018,0.828695418,0.110465123,0.231003344,0.788060129,1.767995834,-0.805826366,-0.158097267,0.2818
HRL,0.106041113,0.822953155,0.049276255,0.286829799,0.765837848,1.760520935,-0.784302652,-0.140238807,0.2634
WELL,0.101061458,0.857391188,0.005904828,0.19105573,0.792930841,1.790434718,-0.845570207,-0.11786259,0.2214
XRAY,0.23267831,0.784539662,0,0.226069093,0.738978386,1.734317541,-0.778305531,-0.133535445,0.2205
GNRC,0.447289263,0.787222372,0.024667566,0.291141421,0.792888641,1.780638933,-0.829138696,-0.153470442,0.6122
PODD,0.433652173,0.805707078,0.011292509,0.206543729,0.161440358,0.460832894,-0.239827007,-0.05004257,0.4424
BG,0.155816676,0.81719636,0.124854014,0.313393772,1.013263345,2.325962305,-1.100429773,-0.238534242,0.2226
WYNN,0.348772771,0.805658827,0,0.230497152,0.659924865,1.470465899,-0.715790927,-0.150790393,0.296
J,0.096377252,0.820888547,0.043733981,0.222215638,0.681921124,1.538557291,-0.717292309,-0.113671564,0.1891
ABBV,0.051895674,0.915309057,0.025839613,0.264274091,0.805242777,1.955221415,-0.911898494,-0.149798974,0.1911
TSN,0.183030222,0.820263961,0.02028485,0.285569668,0.846179485,2.032338381,-0.972945988,-0.160909995,0.2141
CPRT,0.081353511,0.855221418,0.027885028,0.250790566,0.683814645,1.519252896,-0.719263911,-0.068429433,0.2172
NEE,0.145659685,0.888879509,0.065217393,0.230199173,0.907823324,2.057551384,-0.907208443,-0.144272223,0.348
AXON,0.147224211,0.821871441,0.005836746,0.320424706,0.986981273,2.189541101,-0.991152763,-0.13868314,0.3679
MLM,0.12874457,0.838770211,0.039436996,0.182090238,0.758909941,1.643740058,-0.735155702,-0.188049793,0.241
PKG,0.122296185,0.814811043,0.055594694,0.278063893,0.904551744,2.104671717,-0.993451416,-0.168886051,0.2344
VTR,0.117451872,0.8232873,0.000454339,0.23150444,0.798763931,1.960936069,-0.90190351,-0.149901867,0.2649
CEG,0.112782604,0.851545008,0.041343457,0.292570949,1.030493498,2.330260515,-1.072289348,-0.16378732,0.2426
CVS,0.131146953,0.879389621,0.093963635,0.291883439,0.815271437,1.826504111,-0.857292295,-0.107786417,0.2552
COR,0.146603286,0.850882025,0.043142438,0.365698278,0.941799462,2.141114235,-0.955845177,-0.2201024,0.1465
AZO,0.156493492,0.856757463,0.050752963,0.262031466,0.966314316,2.078207731,-1.029489279,-0.189478517,0.2111
GIS,0.160800211,0.849528887,0.062643591,0.253624409,0.751765728,1.697665215,-0.801499486,-0.116997644,0.1668
UPS,0.099464685,0.889980918,0.069320183,0.267802626,0.765874505,1.695459485,-0.811553836,-0.128013119,0.21
