Symbol,0,1,2,3,4
IPG,0.000476396,0.004512901,0.823469763,0.170668362,0.000872579
USB,0.014375552,0.000353361,0.301554078,0.683423105,0.000293903
ETR,0.41800528,6.54E-07,0.00897087,0.572996306,2.69E-05
VRSK,0.899026664,3.40E-09,0.000356075,0.100608715,8.54E-06
MMC,0.98747778,4.21E-11,2.76E-05,0.012481059,1.36E-05
TRGP,0.464068705,4.53E-07,0.007210571,0.528696094,2.42E-05
BAC,0.62858715,1.17E-07,0.003165882,0.36823014,1.67E-05
APTV,0.111478966,1.54E-05,0.055210081,0.833218537,7.70E-05
HRL,0.50561486,3.26E-07,0.00591122,0.488451581,2.20E-05
WELL,0.814039368,1.56E-08,0.00091211,0.185037854,1.07E-05
XRAY,0.020137733,0.000232925,0.243466961,0.735919354,0.000243027
GNRC,3.40E-37,0.067280304,1.08E-06,8.44E-25,0.93271862
PODD,6.82E-18,0.916489709,0.042828715,1.93E-10,0.040681576
BG,0.109332224,1.60E-05,0.056359076,0.834214621,7.81E-05
WYNN,1.22E-08,0.129853524,0.865350901,0.0003669,0.004428663
J,0.91924364,2.02E-09,0.000258729,0.080489445,8.18E-06
ABBV,0.972913149,1.90E-10,6.36E-05,0.027014202,9.02E-06
TSN,0.111708416,1.53E-05,0.055089639,0.833109703,7.69E-05
CPRT,0.924883669,1.71E-09,0.000233877,0.074874345,8.11E-06
NEE,0.018358358,0.000262174,0.258881503,0.722241497,0.000256468
AXON,0.002834908,0.001603366,0.599841409,0.395142701,0.000577617
MLM,0.529273193,2.69E-07,0.005269581,0.465436077,2.09E-05
PKG,0.376558737,9.13E-07,0.010932805,0.612477841,2.97E-05
VTR,0.35832762,1.06E-06,0.011940351,0.629699886,3.11E-05
CEG,0.376889376,9.11E-07,0.010915431,0.612164603,2.97E-05
CVS,0.355673411,1.08E-06,0.012095612,0.632198602,3.13E-05
COR,0.679584605,7.29E-08,0.002369911,0.318030553,1.49E-05
AZO,0.276406104,2.16E-06,0.018076183,0.705476737,3.88E-05
GIS,0.649934591,9.63E-08,0.002813056,0.347236341,1.59E-05
