Symbol,PC1,PC2
MAR,-0.630049619,-0.020671646
AXP,-0.083405103,-0.011533279
GL,-0.476568371,-0.058262672
HUM,-0.720863781,-0.022136279
A,0.303030606,-0.039023154
MAA,0.21262157,-0.060836999
BSX,0.211538636,0.009811524
AJG,0.011877789,-0.056325425
FTV,1.279756196,-0.062466614
TMO,0.32888513,-0.008417487
NVR,-0.190584382,-0.037954686
EXPD,0.013770925,-0.05544777
VRSK,0.180943099,-0.064487702
NRG,0.113160605,-0.036897933
WMB,0.073732831,-0.027097971
CTRA,-0.151750816,-0.007197571
FICO,-0.145185226,-0.032038668
WST,1.226384388,-0.049150879
LH,0.001462247,-0.063042264
MOH,-0.31486632,-0.038583963
INVH,0.22005465,-0.047957673
UNH,-0.501515551,0.088799603
HPQ,-0.134163912,0.004299447
PNR,0.180600751,-0.04600597
FTNT,-0.010161309,0.083207956
PPL,-0.547576983,-0.015069316
BDX,2.18975573,-0.086176544
AAL,-0.162390438,0.146584995
CTLT,-0.007367191,-0.012674044
ACN,-0.016427493,-0.003763049
ES,0.100349173,-0.029764109
LW,-0.42907958,-0.003652294
TJX,0.124090491,-0.022948879
SO,-0.102754246,-0.021227705
KMI,-0.470158135,0.024505159
MRNA,2.196839519,-0.003631962
SEE,0.188107337,-0.008961717
LRCX,-0.145517406,0.008618385
PGR,-0.444262494,0.032068577
SCHW,-0.06319954,0.061042057
VLO,-0.036639071,-0.004644212
MSCI,0.149349263,-0.042737821
ATO,-0.026613503,-0.059800644
IVZ,0.06524711,-0.006940385
HST,-0.06157981,0.004082698
DGX,-0.032116474,-0.052424063
MMM,-0.023717052,-0.006496731
SYF,-0.376710328,-0.010714946
FI,-0.263618648,-0.028736342
SNA,0.21513612,-0.059562677
T,0.0446385,0.211729206
XYL,0.010784106,-0.043499049
CINF,-0.132312796,-0.047616777
NTRS,0.090412405,-0.007476794
BRO,0.505627846,-0.066436995
CAH,-0.356486911,-0.042608637
CSX,0.250400101,0.024076537
WBA,0.30355427,0.047107411
QCOM,-0.096369047,0.049458171
MCHP,-0.018122593,0.008935241
WAB,-0.431497495,-0.043027624
AVB,0.280284289,-0.062635926
CMA,-0.220129836,0.009030045
PCAR,-0.290023819,-0.02890948
TPR,-0.15760224,0.015750652
CHTR,0.279222778,-0.014308998
WY,-0.334881412,-0.040604606
KO,-0.265956082,0.075529046
ALLE,0.152771533,-0.043234061
BBY,0.489364276,-0.047943549
CDAY,-0.160362488,-0.015472687
PTC,-0.124535524,-0.050000612
ANSS,-0.274049697,-0.029942867
ETSY,0.501553495,0.024258958
CME,-0.007765694,-0.046771521
GM,-0.362155299,0.053025895
FITB,0.058501483,-0.002071394
HUBB,-0.125494384,-0.033904524
ODFL,0.257261698,-0.029481637
TFX,0.360182403,-0.059060222
PNW,-0.12505558,-0.054667015
LEN,-0.228213465,-0.014498637
EPAM,0.161473601,-0.029932915
IEX,-0.065963527,-0.054882911
ETR,-0.047526555,-0.046661469
LULU,0.204946161,-0.01456162
MTB,-0.226192361,-0.023659374
PEG,-0.112688428,-0.039001445
CRM,0.139389214,0.021438603
NXPI,0.064904551,-0.010613855
CLX,-0.118657389,-0.031436535
PSA,-0.146502521,-0.03946795
CB,0.110489154,-0.030765922
TECH,-0.128783331,-0.030449341
TSCO,-0.238163943,-0.04028928
PM,0.003052315,-0.01353948
DIS,0.240866361,0.064502401
AZO,-0.341251308,-0.039053492
MTD,0.229125541,-0.047225289
NWS,0.464557135,-0.050892453
AVY,-0.228688574,-0.052190692
CPT,0.284805948,-0.059720546
JNJ,0.074460839,0.145024239
BIIB,0.320760384,-0.056457507
