Symbol,0,1,2,3,4,5
MAR,0.002467094,0.790593094,1.19E-36,2.67E-08,0.206939786,0
AXP,0.138078195,0.733447419,2.15E-20,0.001624346,0.12685004,0
GL,0.007975078,0.891991013,6.05E-31,8.93E-06,0.100024977,0
HUM,0.001181786,0.794767492,1.22E-39,1.89E-09,0.20405072,0
A,0.121827143,0.866331156,1.59E-11,0.00287782,0.008963882,0
MAA,0.10534999,0.874133065,3.40E-13,0.006999089,0.013517856,0
BSX,0.892811122,0.058282666,5.24E-13,0.017831422,0.031074789,0
AJG,0.05605066,0.911885007,6.72E-18,0.003704293,0.02836004,0
FTV,5.64E-06,5.91E-05,0.999935222,1.55E-15,1.05E-09,0
TMO,0.607339049,0.366374222,1.46E-10,0.008543063,0.017743665,0
NVR,0.02232333,0.920191462,2.02E-23,0.000261149,0.057224059,0
EXPD,0.055029952,0.913556366,7.07E-18,0.003523362,0.027890319,0
VRSK,0.113516227,0.860111402,8.92E-14,0.009600932,0.016771439,0
NRG,0.07670718,0.898773664,9.18E-16,0.002895953,0.021623203,0
WMB,0.098732992,0.864141872,1.18E-16,0.002864104,0.034261032,0
CTRA,0.135198325,0.66562198,3.78E-22,0.000902822,0.198276873,0
FICO,0.031753721,0.908599372,3.05E-22,0.000425343,0.059221564,0
WST,1.98E-05,0.000144104,0.999836089,3.00E-14,3.62E-09,0
LH,0.07004727,0.890739663,6.20E-18,0.006036438,0.033176629,0
MOH,0.011881918,0.912761266,7.41E-27,4.25E-05,0.075314337,0
INVH,0.08783514,0.896548209,2.82E-13,0.003734346,0.011882304,0
UNH,0.880813313,4.59E-09,3.51E-32,4.12E-05,0.119145492,0
HPQ,0.339204553,0.350868205,1.82E-21,0.002170813,0.30775643,0
PNR,0.080187802,0.901952593,3.60E-14,0.003601541,0.014258064,0
FTNT,0.961355326,3.49E-10,1.21E-18,0.037841299,0.000803375,0
PPL,0.005861993,0.741045558,5.32E-34,2.54E-07,0.253092195,0
BDX,1.49E-20,9.51E-18,5.76E-10,4.10E-48,4.11E-26,0.999999999
AAL,0.844848856,1.13E-22,5.90E-23,0.155150392,7.53E-07,0
CTLT,0.179612568,0.72605244,1.91E-18,0.003157373,0.091177618,0
ACN,0.33205618,0.520132691,1.68E-18,0.004905812,0.142905317,0
ES,0.095521789,0.873478882,4.86E-16,0.003013708,0.027985621,0
LW,0.028646782,0.562460558,3.43E-30,6.55E-06,0.408886108,0
TJX,0.149009935,0.813837598,2.13E-15,0.004102091,0.033050377,0
SO,0.064443625,0.853495932,4.64E-21,0.000836195,0.081224249,0
KMI,0.095387839,0.037383576,2.62E-31,6.28E-06,0.86722231,0
MRNA,1.52E-21,7.24E-22,1.68E-09,7.18E-48,1.46E-29,0.999999998
SEE,0.448230521,0.50004672,1.17E-13,0.009807809,0.041914949,0
LRCX,0.4093251,0.237255682,1.00E-21,0.002270836,0.351148382,0
PGR,0.164317032,0.011137513,1.86E-30,1.57E-05,0.824529719,0
SCHW,0.972747878,1.29E-06,8.06E-20,0.013837892,0.013412936,0
VLO,0.287339329,0.558289018,4.91E-19,0.00390185,0.150469803,0
MSCI,0.075931621,0.903987376,6.63E-15,0.003281039,0.016799964,0
ATO,0.056143804,0.905702468,1.00E-18,0.003913949,0.034239779,0
IVZ,0.358675875,0.547905599,1.60E-16,0.007242528,0.086175997,0
HST,0.456483822,0.31685303,1.53E-19,0.004860029,0.22180312,0
DGX,0.044279998,0.92154424,4.50E-19,0.002228551,0.03194721,0
MMM,0.2650697,0.599570967,9.70E-19,0.003933905,0.131425429,0
SYF,0.025685185,0.713177299,1.12E-28,1.56E-05,0.261121942,0
FI,0.019431028,0.891558284,1.72E-25,8.31E-05,0.088927571,0
SNA,0.101835176,0.878681595,3.57E-13,0.00640429,0.013078939,0
T,0.001821654,2.15E-45,5.25E-20,0.998178346,1.95E-16,0
XYL,0.048381857,0.921331522,3.53E-18,0.001981562,0.028305059,0
CINF,0.028326065,0.927468859,1.01E-21,0.000731673,0.043473403,0
NTRS,0.375313518,0.542208817,6.37E-16,0.007985657,0.074492008,0
BRO,0.180973429,0.813992449,3.10E-07,0.001514413,0.003519399,0
CAH,0.00948338,0.913531701,5.70E-28,2.46E-05,0.076960287,0
CSX,0.966491307,0.003166281,3.18E-12,0.020035026,0.010307385,0
WBA,0.971448927,6.90E-06,3.48E-11,0.027492975,0.001051195,0
QCOM,0.943383641,5.16E-05,1.43E-20,0.008388064,0.048176683,0
MCHP,0.648374216,0.165538938,2.14E-18,0.008421869,0.177664977,0
WAB,0.006304133,0.906335869,3.77E-30,6.11E-06,0.087353893,0
AVB,0.125798413,0.857402082,1.03E-11,0.006535663,0.010263843,0
CMA,0.283642301,0.249949208,8.52E-24,0.000774448,0.465634042,0
PCAR,0.016692426,0.889750077,3.07E-26,5.41E-05,0.093503356,0
TPR,0.523800758,0.099747068,5.15E-22,0.002456299,0.373995875,0
CHTR,0.402043313,0.56917815,1.02E-11,0.007314071,0.021464466,0
WY,0.010592718,0.913607713,2.16E-27,3.27E-05,0.075766862,0
KO,0.9659857,5.95E-08,2.84E-25,0.002029826,0.031984414,0
ALLE,0.076190895,0.90402402,8.00E-15,0.003323812,0.016461274,0
BBY,0.141997917,0.853981154,8.68E-08,0.000904248,0.003116594,0
CDAY,0.069706967,0.801218746,1.57E-22,0.000520153,0.128554134,0
PTC,0.030190278,0.926490219,1.82E-21,0.000901592,0.042417911,0
ANSS,0.017610516,0.895172821,8.78E-26,7.05E-05,0.087146188,0
ETSY,0.992389294,0.000965322,4.48E-07,0.005606937,0.001037999,0
CME,0.045095427,0.923544375,1.38E-18,0.001971942,0.029388256,0
GM,0.618949715,0.000113596,7.22E-28,0.000226846,0.380709844,0
FITB,0.477894622,0.409573757,1.32E-16,0.009015935,0.103515686,0
HUBB,0.032905738,0.913584763,1.03E-21,0.000535127,0.052974372,0
ODFL,0.156966175,0.825002386,1.90E-12,0.003793427,0.014238012,0
TFX,0.127997198,0.861961086,3.62E-10,0.003506375,0.006535341,0
PNW,0.033598772,0.921538675,2.36E-21,0.001222855,0.043639698,0
LEN,0.050929434,0.788452067,2.12E-24,0.00020216,0.16041634,0
EPAM,0.116165283,0.858623341,1.31E-14,0.003596061,0.021615314,0
IEX,0.041830744,0.919703921,7.55E-20,0.002055477,0.036409858,0
ETR,0.039079634,0.925821959,1.41E-19,0.001489462,0.033608944,0
LULU,0.329056953,0.631600858,2.24E-13,0.007423836,0.031918353,0
MTB,0.029704821,0.869615628,1.96E-24,0.000155969,0.100523582,0
PEG,0.031274906,0.922875638,2.40E-21,0.000655318,0.045194137,0
CRM,0.937692813,0.009781812,1.11E-14,0.019703407,0.032821968,0
NXPI,0.277358049,0.642429751,1.33E-16,0.005868224,0.074343975,0
CLX,0.036679239,0.906721914,1.54E-21,0.000575463,0.056023383,0
PSA,0.026803684,0.92337872,3.15E-22,0.000460477,0.049357119,0
CB,0.094626284,0.876329977,8.32E-16,0.003065245,0.025978494,0
TECH,0.036245432,0.903621312,8.30E-22,0.00051625,0.059617006,0
TSCO,0.017351465,0.920824991,1.09E-24,0.000147127,0.061676417,0
PM,0.176196039,0.736678546,3.38E-18,0.003271696,0.083853719,0
DIS,0.95104204,4.29E-08,1.26E-12,0.048585633,0.000372284,0
AZO,0.010287115,0.910988241,1.33E-27,2.75E-05,0.078697136,0
MTD,0.089934694,0.89499042,4.38E-13,0.003626886,0.011448,0
NWS,0.135146514,0.860111556,3.05E-08,0.001185792,0.003556108,0
AVY,0.020569431,0.922356612,3.70E-24,0.000318183,0.056755774,0
CPT,0.116038488,0.86911278,1.08E-11,0.005323344,0.009525387,0
JNJ,0.345146158,7.95E-24,3.97E-17,0.654853826,1.63E-08,0
BIIB,0.114661101,0.873837478,5.13E-11,0.003824833,0.007676588,0
HII,0.020443299,0.925597438,1.20E-23,0.000279128,0.053680134,0
WRK,0.056909361,0.795865073,1.07E-23,0.000291487,0.146934078,0
NWSA,0.156387265,0.838694598,2.96E-08,0.001129329,0.003788778,0
HON,0.157667275,0.809418094,9.37E-15,0.004348868,0.028565763,0
NEM,0.987150084,0.002086983,2.86E-08,0.008627993,0.002134912,0
AMD,1.61E-13,6.42E-120,1.55E-25,1,1.06E-46,0
AES,0.965666026,0.00151732,5.05E-13,0.021956789,0.010859865,0
EXC,0.00770206,0.784045814,3.50E-32,1.03E-06,0.208251095,0
CI,0.090020496,0.821934853,2.89E-20,0.001284337,0.086760314,0
FLT,0.04026672,0.92435937,1.84E-19,0.001370217,0.034003693,0
PFG,0.001821272,0.866586307,1.77E-36,3.59E-08,0.131592385,0
ORCL,0.968968353,1.20E-15,7.31E-23,0.030940902,9.07E-05,0
XEL,0.08358696,0.88692644,2.95E-16,0.002784006,0.026702594,0
BAC,6.74E-06,2.55E-64,1.64E-21,0.999993262,5.68E-24,0
HSY,0.015310748,0.922469933,2.28E-25,0.000124397,0.062094922,0
DFS,0.935225267,0.010691381,9.23E-15,0.019527341,0.034556012,0
NDAQ,0.063232463,0.910661718,1.21E-16,0.002563788,0.02354203,0
COST,0.416097461,0.503705621,1.46E-15,0.008930406,0.071266512,0
BXP,0.266420599,0.690372568,2.63E-14,0.006456177,0.036750656,0
PFE,5.39E-25,2.86E-40,1.23E-10,1.68E-47,2.46E-39,1
IFF,0.366423512,0.007898353,2.97E-27,0.000179845,0.62549829,0
AWK,0.046177015,0.92270381,1.76E-18,0.002209889,0.028909286,0
CZR,0.844801744,0.107271018,1.26E-12,0.016350392,0.031576846,0
KIM,0.162211591,0.811483969,8.54E-14,0.00436713,0.021937311,0
RL,0.028176152,0.925708763,8.81E-22,0.00058302,0.045532066,0
V,0.926599154,5.80E-10,2.06E-13,0.073268711,0.000132135,0
HCA,0.046634218,0.907343253,6.22E-20,0.001059079,0.04496345,0
MCD,0.114746909,0.715456924,5.04E-22,0.000848648,0.168947519,0
CFG,0.806433104,0.068537819,4.13E-17,0.012903744,0.112125333,0
KR,0.003079504,0.795429617,1.18E-35,6.22E-08,0.201490816,0
AME,0.053108336,0.905530231,2.41E-19,0.003498721,0.037862713,0
XRAY,0.071548701,0.907747559,3.36E-15,0.003323407,0.017380333,0
GRMN,0.006314453,0.897737135,2.12E-31,4.91E-06,0.0959435,0
DHI,0.015062521,0.488245671,2.33E-33,5.77E-07,0.496691231,0
IP,0.000461858,0.767170691,4.64E-44,2.76E-11,0.232367451,0
MHK,0.094526945,0.879273415,2.17E-15,0.003163033,0.023036607,0
APH,0.078118542,0.903443586,2.19E-14,0.003594203,0.01484367,0
CF,0.182874382,0.751712297,5.43E-17,0.004092686,0.061320635,0
ROST,0.060766167,0.911981645,5.87E-17,0.002416671,0.024835517,0
SHW,0.043275494,0.920108784,2.55E-19,0.001331621,0.035284101,0
PRU,0.01135712,0.913874826,4.85E-27,3.94E-05,0.074728604,0
CCI,0.262672605,0.687052042,6.18E-15,0.006350683,0.043924671,0
DVA,0.926932838,0.041787511,2.94E-11,0.01535634,0.015923311,0
LYV,0.02853594,0.891715224,1.07E-23,0.000217664,0.079531173,0
CDW,0.023895736,0.924934913,4.48E-23,0.000491143,0.050678209,0
HWM,0.065341887,0.911693807,7.22E-16,0.003681783,0.019282522,0
HIG,0.032483663,0.927015686,7.05E-21,0.001044035,0.039456617,0
LMT,0.184266864,0.789922378,2.33E-13,0.004663972,0.021146785,0
ALB,0.514196693,0.13975853,1.86E-21,0.002952961,0.343091816,0
TDG,0.140341762,0.849473784,7.86E-10,0.003776981,0.006407472,0
PWR,0.046440175,0.907277767,5.73E-20,0.00104626,0.045235798,0
STZ,0.016266815,0.9219768,5.50E-25,0.00013403,0.061622355,0
INTC,0.000467828,9.88E-54,1.90E-23,0.999532172,8.81E-19,0
BK,0.119079593,0.800551681,4.67E-19,0.002090515,0.078278211,0
FANG,0.019261658,0.900191332,3.68E-25,1.00E-04,0.080447053,0
TGT,0.06962862,0.626942403,6.44E-26,0.000117825,0.303311152,0
CPRT,0.195642106,0.793152184,2.91E-10,0.002804026,0.008401684,0
KEY,0.950578471,2.19E-10,1.04E-17,0.048924169,0.00049736,0
SLB,0.010446764,0.00116114,1.66E-42,3.38E-10,0.988392095,0
AFL,0.004458631,0.886696621,4.43E-32,1.21E-06,0.10884354,0
JBHT,0.112250426,0.873089382,1.56E-12,0.003229476,0.011430716,0
VICI,0.075548408,0.893989794,1.04E-16,0.002535095,0.027926704,0
ROL,0.299166378,0.632311474,8.73E-16,0.006738374,0.061783774,0
URI,0.071421205,0.793730837,1.27E-22,0.000509724,0.134338234,0
PLD,0.20449165,0.732756186,1.66E-16,0.004709668,0.058042497,0
BAX,0.209867563,0.213243934,1.16E-25,0.000266578,0.576621924,0
BALL,0.062697526,0.735257676,1.29E-24,0.000205737,0.20183906,0
BX,0.90266003,0.000705969,2.87E-20,0.007736278,0.088897723,0
ED,0.028201409,0.924567549,7.50E-22,0.000550066,0.046680975,0
ETN,0.082061076,0.57684704,7.03E-26,0.000132372,0.340959513,0
SPG,0.052961276,0.919127683,1.61E-17,0.002322363,0.025588678,0
CBRE,0.009736768,0.852605555,1.05E-29,5.94E-06,0.137651735,0
VZ,0.449907232,1.56E-20,4.96E-14,0.550092712,5.60E-08,0
ADP,0.04957249,0.809447492,5.53E-24,0.000239474,0.140740544,0
FSLR,0.905522209,0.058917087,1.25E-11,0.015764627,0.019796077,0
PEAK,0.12748717,0.846525598,1.88E-14,0.003794154,0.022193077,0
EXR,0.112052644,0.857011627,1.54E-15,0.00340666,0.02752907,0
BBWI,0.23507515,0.254569946,1.08E-24,0.000456455,0.509898449,0
ICE,0.039241011,0.923094236,8.73E-20,0.001180054,0.0364847,0
TSLA,1.46E-82,0,1.10E-85,1,1.81E-245,0
ELV,0.096209177,0.829270104,2.00E-19,0.0016748,0.072845919,0
CRL,0.135613269,0.853131824,4.18E-11,0.002754454,0.008500453,0
ROK,0.008429884,0.78686725,9.02E-32,1.41E-06,0.204701457,0
MO,0.14548264,0.294988432,1.97E-26,0.000142374,0.559386553,0
MSI,0.086671462,0.88961345,1.14E-14,0.006402548,0.01731254,0
META,1.35E-07,3.44E-80,3.67E-25,0.999999865,1.76E-29,0
