Symbol,Volume,Market Cap,P/E Ratio,vec0,vec1,vec2,vec3,vec4,Volatility,Cluster
WYNN,0.348772771,0.805658827,0.0,0.230497152,0.659924865,1.470465899,-0.715790927,-0.150790393,0.296,3
J,0.096377252,0.820888547,0.043733981,0.222215638,0.681921124,1.538557291,-0.717292309,-0.113671564,0.1891,3
CPRT,0.081353511,0.855221418,0.027885028,0.250790566,0.683814645,1.519252896,-0.719263911,-0.068429433,0.2172,3
ETSY,0.621875573,0.793670654,0.0396937,0.231000528,0.570409715,1.427837849,-0.674390316,-0.09749341,0.4703,3
EQR,0.091149102,0.828933916,0.03124429,0.12816456,0.645566583,1.451538205,-0.703965068,-0.181361809,0.1731,3
ESS,0.128823549,0.815191955,0.038125947,0.148822546,0.644155562,1.558235526,-0.750766695,-0.15817143,0.1925,3
TMO,0.088045752,0.902871307,0.033853537,0.229924202,0.700472116,1.534234881,-0.752990961,-0.096277565,0.2221,3
VRTX,0.079751088,0.883019906,0.034512947,0.22747992,0.64204061,1.504141331,-0.729002297,-0.142923266,0.1809,3
BRO,0.092348696,0.827782782,0.036866359,0.194287002,0.584126592,1.404579639,-0.684120119,-0.138623029,0.1815,3
NEM,0.305519128,0.840237074,0.0,0.201711655,0.612803757,1.473137617,-0.697303891,-0.08337871,0.2947,3
NWSA,0.165327905,0.810720974,0.012143859,0.228754267,0.64342916,1.42668581,-0.686995506,-0.105277292,0.235,3
MA,0.05306542,0.928199286,0.029638183,0.204423621,0.561618984,1.341066718,-0.631354511,-0.089292839,0.172,3
CCL,0.506948582,0.820009826,0.0,0.244212732,0.734175265,1.599826694,-0.762614369,-0.125173405,0.3778,3
BIIB,0.122822976,0.845610176,0.078121631,0.235734776,0.730282426,1.53529501,-0.73415947,-0.108357444,0.1882,3
STLD,0.170352851,0.824103324,0.141705597,0.17363216,0.6696468,1.29681778,-0.695209026,-0.112329803,0.3125,3
KDP,0.126885398,0.85415735,0.044122386,0.174793661,0.572494328,1.365987182,-0.622054756,-0.110409811,0.2105,3
TDG,0.086295626,0.85865851,0.02104534,0.237706289,0.670547247,1.511283636,-0.699710846,-0.142858192,0.1785,3
TFX,0.133392062,0.802247622,0.040951718,0.198395401,0.664533973,1.53550458,-0.707339406,-0.115017727,0.2217,3
AIG,0.088647713,0.855029881,0.090923622,0.212143168,0.731311798,1.541367054,-0.709380627,-0.084770843,0.1809,3
CVX,0.095416167,0.918353667,0.092907307,0.22676079,0.656057656,1.594754457,-0.747186482,-0.102445841,0.2397,3
AEE,0.120606619,0.827919185,0.054775102,0.097939998,0.561536193,1.140777826,-0.531210899,-0.09821935,0.1994,3
NWS,0.137720124,0.810863142,0.011659193,0.228754267,0.64342916,1.42668581,-0.686995506,-0.105277292,0.2349,3
YUM,0.115110028,0.84708918,0.041557198,0.220775113,0.655211151,1.488360286,-0.664815307,-0.085087679,0.1538,3
UNP,0.081114066,0.89247138,0.048773586,0.247467399,0.635396898,1.591837525,-0.737730622,-0.109256916,0.2321,3
HES,0.179372363,0.854686794,0.033174682,0.182437673,0.645373821,1.456448078,-0.623113394,-0.110615641,0.3028,3
FFIV,0.143724045,0.800148801,0.042479467,0.181714475,0.718787551,1.556648135,-0.6994133,-0.081724957,0.2109,3
FSLR,0.416453319,0.817084461,0.031488066,0.21622014,0.718286455,1.61653161,-0.698881209,-0.178828925,0.4196,3
BBY,0.211778425,0.815209531,0.088833283,0.24047181,0.616690099,1.395576954,-0.703957438,-0.127172813,0.2294,3
JCI,0.132509253,0.84624049,0.058474916,0.183626086,0.644156992,1.509780169,-0.723306656,-0.139300689,0.2436,3
DG,0.399316795,0.83656743,0.082621794,0.208615214,0.730419338,1.595491767,-0.759313583,-0.136394784,0.3792,3
EBAY,0.199617819,0.829256285,0.059824785,0.177066103,0.5914886,1.378321052,-0.690149009,-0.082428277,0.2996,3
AKAM,0.244502965,0.820991008,0.027677279,0.233841002,0.67353195,1.476439476,-0.667646468,-0.110461779,0.2071,3
NVDA,0.423980897,0.96843118,0.008889079,0.200243607,0.652180433,1.455266595,-0.704458714,-0.131507427,0.3915,3
