Symbol,Cluster
IPG,1
USB,1
ETR,1
VRSK,1
MMC,1
TRGP,1
BAC,1
APTV,1
HRL,1
WELL,1
XRAY,1
GNRC,1
PODD,4
BG,1
WYNN,3
J,3
ABBV,1
TSN,1
CPRT,3
NEE,1
AXON,1
MLM,1
PKG,1
VTR,1
CEG,1
CVS,1
COR,1
AZO,1
GIS,1
UPS,1
BR,1
EMR,1
AIZ,1
UNH,1
MSI,1
SJM,1
ETSY,3
META,1
TAP,1
BWA,1
IBM,1
JNJ,1
FTNT,1
AAPL,1
JKHY,1
GEHC,1
MS,1
FANG,1
AMAT,1
AON,1
T,1
WBD,1
TECH,1
EQR,3
ROK,1
LUV,1
ESS,3
RCL,4
NTAP,1
HBAN,1
PARA,1
EXR,1
MDT,1
COST,1
SBAC,1
BK,1
MRK,1
NDSN,1
BX,1
LVS,1
CHD,1
ACN,1
ALLE,1
KVUE,1
PH,1
INTU,1
HII,1
APD,1
DAL,1
WMT,1
TMO,3
TYL,1
TROW,1
TT,1
SYF,1
LEN,1
MTCH,1
MRO,1
PRU,1
WRK,1
PPL,1
DLR,1
NSC,1
MAS,1
PEAK,1
DIS,1
NDAQ,1
CBRE,1
LOW,1
AME,1
RTX,1
ZBRA,1
IRM,1
ETN,1
CMCSA,1
LIN,1
SO,1
MGM,1
LYV,1
MDLZ,1
RJF,1
AAL,1
TJX,1
VRTX,3
KHC,1
CAH,1
CSGP,1
IR,1
PWR,1
AMT,1
RMD,1
RHI,1
IVZ,1
ADP,1
BRO,3
GD,1
INTC,1
WST,4
EOG,1
HST,1
FCX,1
ORCL,1
ULTA,1
CTLT,1
CTAS,1
BRK.B,1
BDX,2
CI,1
ICE,1
ITW,1
NEM,3
ROL,1
PFG,1
NWSA,3
CPB,1
AJG,1
HAL,1
IDXX,1
KIM,1
CDAY,1
WEC,1
AMCR,1
ELV,1
DGX,1
FAST,1
BAX,1
GLW,1
GPC,1
VICI,1
MOS,1
CARR,1
PAYC,1
ROP,1
KO,1
DUK,1
TXT,1
KEY,1
CNC,1
C,1
BIO,1
BEN,1
SEDG,4
AVY,1
RL,1
RSG,1
AOS,1
CHTR,1
LH,1
BSX,1
BLK,1
VZ,1
AMZN,1
CMA,1
DXCM,1
EL,1
UDR,1
MO,1
MPWR,1
PSA,1
TFC,1
HIG,1
PCAR,1
CPT,1
WHR,1
HLT,1
MTB,1
SPGI,1
BKNG,1
DTE,1
MKC,4
OXY,1
AVB,1
EXPD,1
O,1
CTVA,1
MA,3
XOM,1
ROST,1
MU,1
NOC,1
MCK,1
CE,1
NCLH,1
FDX,1
FICO,1
ABT,1
MET,1
ALL,1
REGN,1
ADBE,1
FTV,4
CZR,1
VFC,1
COF,1
VMC,1
TTWO,1
GWW,1
ADI,1
CCL,3
K,1
BIIB,3
AVGO,1
HON,1
DE,1
PLD,1
EIX,1
WAT,1
MOH,1
KMI,1
LRCX,1
MNST,1
PFE,2
MCD,1
ACGL,1
PAYX,1
STLD,3
AMD,1
PXD,1
LKQ,1
EPAM,1
WFC,1
MCHP,1
QCOM,1
LYB,1
NI,1
LDOS,1
JBHT,1
XYL,1
ZBH,1
ON,1
LNT,1
AWK,1
NOW,1
WBA,1
KLAC,1
DOV,1
ADM,1
TSCO,1
CL,1
MAR,1
TPR,1
EVRG,1
ZION,1
AES,1
TEL,1
VRSN,1
ALGN,1
HOLX,1
PPG,1
KDP,3
CRL,1
A,1
ABNB,1
WMB,1
PEP,1
EQT,1
IQV,1
CTSH,1
CNP,1
GM,1
TDG,3
DVN,1
OTIS,1
FLT,1
INVH,1
MSFT,1
UAL,1
GOOGL,1
ED,1
FITB,1
HAS,1
L,1
TFX,3
ENPH,1
DHI,1
STE,1
AIG,3
TSLA,1
TRV,1
SYK,1
TMUS,1
HD,1
CHRW,1
HUM,1
MAA,1
URI,1
CBOE,1
MPC,1
NXPI,1
AFL,1
PM,1
LHX,1
ALK,1
HCA,1
HSY,1
STX,1
CVX,3
LW,1
DFS,1
OMC,1
HPQ,1
HUBB,1
ATO,1
ANSS,1
CCI,1
FDS,1
POOL,1
DD,1
ANET,1
RVTY,1
CAT,1
VLO,1
TXN,2
F,1
DLTR,1
GS,1
PCG,1
DRI,4
JPM,1
GILD,1
AEP,1
NTRS,1
WAB,1
PG,1
GL,1
DVA,1
BKR,1
CME,1
FI,1
CMI,1
APH,1
AEE,3
ISRG,1
LLY,1
FRT,1
IFF,1
REG,1
IEX,1
MHK,1
SEE,1
MKTX,1
GOOG,1
HSIC,1
EG,1
EA,1
SBUX,1
NUE,1
KMX,1
ECL,1
BA,1
EFX,1
EXC,1
MRNA,2
BXP,1
ORLY,1
CAG,1
GEN,1
HPE,1
TER,1
IT,1
NWS,3
WTW,1
CSCO,1
SNPS,1
CINF,1
CSX,1
BF.B,1
SWK,1
PTC,1
FOX,1
AMP,1
STT,1
AXP,1
PANW,1
BBWI,1
CRM,1
CMG,1
YUM,3
EMN,1
UNP,3
TRMB,1
KMB,1
CLX,1
HES,3
FFIV,3
SWKS,1
BMY,1
PYPL,1
JNPR,1
