A,26.93,30100000
AAL,5.04,7280000
AAP,8.92,3070000
AAPL,29.24,2720000000
ABBV,39.03,251470000
ABT,32.32,164880000
ACN,27.91,188780000
ADBE,49.01,247910000
ADI,21.64,79350000
ADM,9.94,38070000
ADP,25.01,86670000
ADSK,49.24,42520000
AEE,18,20190000
AEP,19.81,39400000
AES,N/A,9940000
AFL,10.57,46970000
AIG,10.5,44170000
AIZ,25.9,8830000
AJG,45.45,51220000
AKAM,35.1,15760000
ALB,3.7,14420000
ALGN,38.82,14020000
ALK,15.54,3950000
ALL,N/A,33940000
ALLE,16.94,8680000
AMAT,17.85,113580000
AMCR,12.27,12600000
AMD,N/A,174560000
AME,26.67,32850000
AMGN,17.59,139520000
AMP,12.92,32590000
AMT,116.59,83150000
AMZN,70.98,1420000000
ANET,35.15,65290000
ANSS,46.46,24190000
AON,23.7,62410000
AOS,35.41,10660000
APA,8.48,12170000
APD,28.83,62960000
APH,26.34,48850000
APTV,26.16,24350000
ARE,66.82,16140000
ATO,18.61,16140000
ATVI,34.59,74290000
AVB,24.95,23280000
AVGO,26.23,352040000
AVY,29.22,14010000
AWK,24.81,23130000
AXP,13.74,106730000
AZO,18.76,43990000
BA,N/A,114580000
BAC,7.39,209780000
BALL,18.87,14980000
BAX,N/A,16610000
BBWI,9.68,6760000
BBY,11.35,14350000
BDX,46.04,73590000
BEN,14.1,11250000
BF.B,35.32,26920000
BIIB,13.04,34700000
BIO,N/A,8070000
BK,10.13,33620000
BKNG,23.89,98730000
BKR,20.99,35180000
BLK,17.28,92000000
BMY,13.02,104340000
BR,32.24,20140000
BRK.B,8.63,746210000
BRO,26.35,19720000
BSX,63.03,75670000
BWA,9.16,8720000
BXP,12.65,8390000
C,6.28,77090000
CAG,11.99,12900000
CAH,94.54,23060000
CARR,35.22,41670000
CAT,14.43,118260000
CB,13.01,90480000
CBRE,37.53,21390000
CCI,25.82,40090000
CCL,N/A,12650000
CDAY,N/A,9600000
CDNS,69.77,66620000
CDW,25.34,26700000
CE,9.73,12300000
CEG,48.26,36930000
CF,6.56,15300000
CFG,5.76,10940000
CHD,50.12,22200000
CHRW,18.73,9480000
CHTR,13.27,60840000
CI,14.09,91600000
CINF,9.64,15990000
CL,39.03,61700000
CLX,96.95,14310000
CMA,4.47,5200000
CMCSA,11.58,172510000
CME,25.17,75880000
CMG,47.12,54510000
CMI,12.22,30890000
CMS,21.55,15970000
CNC,15.58,37040000
CNP,21.86,17240000
COF,7.53,38250000
COO,57.31,15690000
COP,11.24,139770000
COST,39.32,246520000
CPB,14.22,12110000
CPRT,34.23,42080000
CPT,40.52,9040000
CRL,17.76,8590000
CRM,128.26,198430000
CSCO,17,211620000
CSX,15.73,58430000
CTAS,38.3,51840000
CTLT,N/A,5800000
CTRA,6.9,20800000
CTSH,15.14,32810000
CTVA,37.01,33880000
CVS,30.15,88290000
CVX,10.69,268770000
CZR,12.45,8500000
D,14.9,33650000
DAL,5.89,20020000
DD,6.9,30720000
DE,10.94,106660000
DFS,6.13,20650000
DG,11.93,25550000
DGX,19.9,14900000
DHI,7.78,37000000
DHR,23.97,140430000
DIS,65.91,148340000
DISH,1.76,2610000
DLR,44.07,38280000
DLTR,20.27,24530000
DOV,17.73,18060000
DOW,26.49,33810000
DPZ,23.53,12000000
DRI,18.14,17530000
DTE,15.02,19920000
DUK,50.06,69060000
DVA,15.4,7070000
DVN,6.32,29600000
DXC,N/A,4160000
DXCM,103.44,36370000
EA,38.32,33530000
EBAY,15.67,20600000
ECL,40.68,47660000
ED,12.83,30760000
EFX,39.74,20660000
EIX,25.8,24520000
EL,37.59,37380000
ELV,17.54,104950000
EMBC,18.73,869240
EMN,15.23,8830000
EMR,3.92,51430000
ENPH,19.33,10480000
EOG,8.37,72330000
EPAM,24.05,12550000
EQIX,79.48,69390000
EQR,24.07,20890000
ES,15.76,18540000
ESS,25.5,13340000
ETN,31.73,85720000
ETR,14.9,20670000
ETSY,N/A,7460000
EVRG,15.14,11440000
EW,27.27,38710000
EXC,18.65,39340000
EXPD,16.48,16260000
EXPE,16.42,13370000
EXR,16.84,21810000
F,6.48,39680000
FANG,8.27,28510000
FAST,29.6,33660000
FCX,22.78,48340000
FDS,36.26,16590000
FDX,14.83,61150000
FE,45.06,20680000
FFIV,23.12,9010000
FIS,N/A,29200000
FISV,30.32,72190000
FITB,6.72,16100000
FLT,18.44,16920000
FMC,12.73,6240000
FOX,12.03,13650000
FOXA,13.13,14900000
FRT,19.68,7480000
FTNT,43.09,45010000
FTV,27.97,22910000
GD,20.29,66230000
GE,12.09,116730000
GILD,18.43,99920000
GIS,15.88,37840000
GL,12.46,11020000
GLW,39.22,22750000
GM,3.94,38360000
GNRC,39.89,5980000
GOOG,24.49,1610000000
GOOGL,24.27,1590000000
GPC,14.56,18050000
GPN,36.35,28350000
GRMN,21.95,21730000
GS,14.87,101280000
GWW,20.69,36830000
HAL,13.55,35290000
HAS,N/A,6390000
HBAN,6.38,13940000
HCA,11.09,60320000
HD,17.9,286660000
HES,27.41,43690000
HIG,10.13,22210000
HII,16.98,8810000
HLT,30.41,38760000
HOLX,34.55,16340000
HON,22.8,121300000
HPE,18.94,19920000
HPQ,11.41,26160000
