Symbol,0,1,2,3,4
IPG,6.73E-05,0.852857367,0,0.14707536,4.13E-202
USB,3.59E-07,0.030149709,0,0.969849932,5.96E-134
ETR,0.134401332,0.001623667,0,0.863975001,1.47E-131
VRSK,0.833105229,0.004427747,0,0.162467024,0
MMC,0.994531937,6.66E-05,0,0.00540148,0
TRGP,0.917381175,0.002011296,0,0.080607529,0
BAC,3.10E-10,0.001091795,0,0.998908205,0
APTV,2.16E-05,0.67677888,0,0.323199554,2.72E-200
HRL,0.21701576,0.047811745,0,0.735172495,4.74E-306
WELL,0.98364718,0.001758247,0,0.014594574,0
XRAY,3.37E-06,0.009112474,0,0.990884153,0
GNRC,1.17E-42,1,0,6.01E-12,0
PODD,7.59E-59,1.52E-12,0,4.07E-42,1
BG,4.42E-06,0.997937295,0,0.002058281,4.62E-150
WYNN,3.66E-24,0.999997887,0,2.11E-06,0
J,0.906416552,0.002564642,0,0.091018806,1.30E-227
ABBV,0.989298955,1.00E-04,0,0.010601079,0
TSN,0.00697662,0.002416048,0,0.990607331,0
CPRT,0.985093384,0.00021783,0,0.014688785,0
NEE,0.005564992,0.952029111,0,0.042405897,0
AXON,0.119979611,0.866905988,0,0.013114402,0
MLM,0.988643823,0.008604963,0,0.002751214,0
PKG,0.647322774,0.01558711,0,0.337090116,0
VTR,0.961133684,0.012255797,0,0.026610519,0
CEG,0.998041167,0.001739652,0,0.000219181,0
CVS,0.000138648,0.002719656,0,0.997141696,0
COR,0.9600981,0.037008585,0,0.002893315,0
AZO,0.980075126,0.0154228,0,0.004502074,0
GIS,0.151521275,0.01159388,0,0.836884845,2.55E-186
UPS,0.102892407,0.001971554,0,0.895136039,0
BR,0.973372541,0.000684571,0,0.025942888,0
EMR,0.994496742,0.003068469,0,0.002434789,0
AIZ,0.018787343,0.001351949,0,0.979860709,0
UNH,0.982304334,0.001440828,0,0.016254838,0
MSI,0.972847091,0.001309713,0,0.025843196,0
SJM,5.90E-12,0.691791132,0,0.308208868,0
ETSY,3.06E-107,1,0,1.24E-31,0
META,1.86E-12,0.001141492,0,0.998858508,0
TAP,0.517313314,0.003986967,0,0.478699719,0
BWA,7.35E-10,0.161362916,0,0.838637083,0
IBM,0.860288278,0.000112072,0,0.13959965,0
JNJ,1.61E-06,0.277604811,0,0.722393582,0
FTNT,1.07E-16,0.999948557,0,5.14E-05,0
AAPL,1.96E-06,1.34E-05,0,0.99998462,0
JKHY,0.98571359,0.002184946,0,0.012101464,0
GEHC,0.696626386,0.001081985,0,0.302291629,5.10E-199
MS,0.084497248,0.003894015,0,0.911608737,0
FANG,1.15E-06,0.99982206,0,0.000176791,1.32E-90
AMAT,0.001289457,0.002648956,0,0.996061586,0
AON,0.962560288,0.00033647,0,0.037103242,0
T,0.098433486,0.036789413,0,0.864777102,0
WBD,1.77E-07,0.995602455,0,0.004397368,0
TECH,0.965387117,0.034466742,0,0.000146141,0
EQR,0.999602745,0.000316997,0,8.03E-05,2.43E-306
ROK,0.999758798,0.000240942,0,2.60E-07,0
LUV,2.19E-05,0.034288457,0,0.965689668,0
ESS,0.998798458,4.67E-05,0,0.00115485,0
RCL,1.94E-29,1.40E-23,0,5.12E-28,1
NTAP,0.868856969,0.12516145,0,0.005981581,2.85E-276
HBAN,1.19E-10,0.999698775,0,0.000301224,1.69E-260
PARA,8.11E-34,0.999997805,0,2.20E-06,0
EXR,0.789789377,0.00259118,0,0.207619443,8.40E-185
MDT,0.972340348,0.000121177,0,0.027538474,0
COST,0.771255441,0.000647335,0,0.228097224,0
SBAC,0.074721213,0.01012449,0,0.915154297,0
BK,3.10E-05,0.005431678,0,0.994537299,1.07E-73
MRK,0.982299507,0.000666289,0,0.017034204,0
NDSN,0.406133622,0.033686715,0,0.560179663,0
BX,4.57E-05,0.01516177,0,0.984792579,0
LVS,0.865637745,0.008692543,0,0.125669712,0
CHD,0.854939082,0.001165925,0,0.143894993,0
ACN,0.953640564,1.86E-05,0,0.046340824,0
ALLE,0.316245004,0.00836349,0,0.675391506,0
KVUE,6.22E-74,1,0,3.34E-23,0
PH,0.759879606,0.001511205,0,0.238609188,1.26e-321
INTU,0.243077873,0.000810078,0,0.756112049,0
HII,0.025475844,0.01865126,0,0.955872896,0
APD,0.962151397,0.001573154,0,0.036275449,0
DAL,4.76E-20,0.999999994,0,5.99E-09,0
WMT,0.920985414,0.000396902,0,0.078617683,0
TMO,0.764534625,0.000325489,0,0.235139886,0
TYL,0.998630476,0.001368622,0,9.02E-07,0
TROW,0.009167789,0.011238757,0,0.979593454,2.90E-52
TT,0.936791578,0.00521653,0,0.057991893,0
SYF,1.09E-21,0.99850379,0,0.00149621,0
LEN,0.000218775,0.989427282,0,0.010353943,4.32E-63
MTCH,1.02E-15,0.999943355,0,5.66E-05,0
MRO,6.65E-24,1,0,8.98E-12,3.74E-68
PRU,0.987448025,0.001329069,0,0.011222907,0
WRK,7.95E-07,0.010744234,0,0.989254971,0
PPL,0.965036167,0.034904284,0,5.95E-05,0
DLR,0.920327478,0.023820433,0,0.055852089,0
NSC,0.984005391,0.000779507,0,0.015215103,0
MAS,0.094538393,0.009956913,0,0.895504694,0
PEAK,0.402152931,0.002136701,0,0.595710368,0
DIS,0.003859716,0.973869017,0,0.022271267,0
NDAQ,0.965813543,0.010072144,0,0.024114313,0
CBRE,0.998123458,0.001772859,0,0.000103683,0
LOW,0.936476429,0.0021229,0,0.061400671,0
AME,0.959129992,0.000259288,0,0.04061072,0
RTX,0.02234371,0.119970495,0,0.857685795,0
ZBRA,1.01E-07,0.960390421,0,0.039609478,0
IRM,0.996927259,0.000906763,0,0.002165979,0
ETN,0.948043207,0.000528519,0,0.051428274,0
CMCSA,0.002819136,0.006480901,0,0.990699963,0
LIN,0.982495085,0.000975522,0,0.016529393,0
SO,0.994855445,0.000336943,0,0.004807612,0
MGM,8.54E-11,0.954208793,0,0.045791207,0
LYV,0.953913088,0.015533728,0,0.030553184,0
